DATE,PERIOD,VERSION,SUBSIDIARY,ACCOUNT_NUM,LOCATION,DEPARTMENT,COST_CENTER,AMOUNT,QUANTITY,MEMO,STATUS
,202401,Budget FY2024,PPACANADA,60600,,DC,DC,5529,,,
,202401,Budget FY2024,PPACANADA,62000,,DC,DC,,,,
,202401,Budget FY2024,PPACANADA,60200,,DC,DC,1716,,,
,202401,Budget FY2024,PPACANADA,68000,,DC,DC,50463,,,
,202401,Budget FY2024,PPACANADA,68050,,DC,DC,2950,,,
,202401,Budget FY2024,PPACANADA,68025,,DC,DC,4000,,,
,202401,Budget FY2024,PPACANADA,68200,,DC,DC,5402,,,
,202401,Budget FY2024,PPACANADA,68250,,DC,DC,100,,,
,202401,Budget FY2024,PPACANADA,68850,,DC,DC,2026,,,
,202402,Budget FY2024,PPACANADA,57000,,DC,DC,1200,,,
,202402,Budget FY2024,PPACANADA,60000,,DC,DC,5833,,,
,202402,Budget FY2024,PPACANADA,60100,,DC,DC,68261,,,
,202402,Budget FY2024,PPACANADA,60500,,DC,DC,408,,,
,202402,Budget FY2024,PPACANADA,60600,,DC,DC,5817,,,
,202402,Budget FY2024,PPACANADA,62000,,DC,DC,,,,
,202402,Budget FY2024,PPACANADA,60200,,DC,DC,1830,,,
,202402,Budget FY2024,PPACANADA,68000,,DC,DC,50463,,,
,202402,Budget FY2024,PPACANADA,68050,,DC,DC,3100,,,
,202402,Budget FY2024,PPACANADA,68025,,DC,DC,4000,,,
,202402,Budget FY2024,PPACANADA,68200,,DC,DC,6959,,,
,202402,Budget FY2024,PPACANADA,68250,,DC,DC,100,,,
,202402,Budget FY2024,PPACANADA,68850,,DC,DC,1806,,,
,202403,Budget FY2024,PPACANADA,57000,,DC,DC,1300,,,
,202403,Budget FY2024,PPACANADA,60000,,DC,DC,5833,,,
,202403,Budget FY2024,PPACANADA,60100,,DC,DC,68261,,,
,202403,Budget FY2024,PPACANADA,60500,,DC,DC,408,,,
,202403,Budget FY2024,PPACANADA,60600,,DC,DC,5817,,,
,202403,Budget FY2024,PPACANADA,62000,,DC,DC,,,,
,202403,Budget FY2024,PPACANADA,60200,,DC,DC,1830,,,
,202403,Budget FY2024,PPACANADA,68000,,DC,DC,50463,,,
,202403,Budget FY2024,PPACANADA,68050,,DC,DC,1000,,,
,202403,Budget FY2024,PPACANADA,68025,,DC,DC,4000,,,
,202403,Budget FY2024,PPACANADA,68200,,DC,DC,4756,,,
,202403,Budget FY2024,PPACANADA,68250,,DC,DC,100,,,
,202403,Budget FY2024,PPACANADA,68850,,DC,DC,27468,,,
,202404,Budget FY2024,PPACANADA,57000,,DC,DC,1300,,,
,202404,Budget FY2024,PPACANADA,60000,,DC,DC,5833,,,
,202404,Budget FY2024,PPACANADA,60100,,DC,DC,71240,,,
,202404,Budget FY2024,PPACANADA,60500,,DC,DC,408,,,
,202404,Budget FY2024,PPACANADA,60600,,DC,DC,6045,,,
,202404,Budget FY2024,PPACANADA,62000,,DC,DC,,,,
,202404,Budget FY2024,PPACANADA,60200,,DC,DC,1830,,,
,202404,Budget FY2024,PPACANADA,68000,,DC,DC,50463,,,
,202404,Budget FY2024,PPACANADA,68050,,DC,DC,800,,,
,202404,Budget FY2024,PPACANADA,68025,,DC,DC,4000,,,
,202404,Budget FY2024,PPACANADA,68200,,DC,DC,4364,,,
,202404,Budget FY2024,PPACANADA,68250,,DC,DC,100,,,
,202404,Budget FY2024,PPACANADA,68850,,DC,DC,1733,,,
,202405,Budget FY2024,PPACANADA,57000,,DC,DC,1300,,,
,202405,Budget FY2024,PPACANADA,60000,,DC,DC,5833,,,
,202405,Budget FY2024,PPACANADA,60100,,DC,DC,71240,,,
,202405,Budget FY2024,PPACANADA,60500,,DC,DC,408,,,
,202405,Budget FY2024,PPACANADA,60600,,DC,DC,6045,,,
,202405,Budget FY2024,PPACANADA,62000,,DC,DC,,,,
,202405,Budget FY2024,PPACANADA,60200,,DC,DC,1830,,,
,202405,Budget FY2024,PPACANADA,68000,,DC,DC,50463,,,
,202405,Budget FY2024,PPACANADA,68050,,DC,DC,800,,,
,202405,Budget FY2024,PPACANADA,68025,,DC,DC,4000,,,
,202405,Budget FY2024,PPACANADA,68200,,DC,DC,4906,,,
,202405,Budget FY2024,PPACANADA,68250,,DC,DC,100,,,
,202405,Budget FY2024,PPACANADA,68850,,DC,DC,1757,,,
,202406,Budget FY2024,PPACANADA,57000,,DC,DC,1200,,,
,202406,Budget FY2024,PPACANADA,60000,,DC,DC,5833,,,
,202406,Budget FY2024,PPACANADA,60100,,DC,DC,71240,,,
,202406,Budget FY2024,PPACANADA,60500,,DC,DC,408,,,
,202406,Budget FY2024,PPACANADA,60600,,DC,DC,6045,,,
,202406,Budget FY2024,PPACANADA,62000,,DC,DC,,,,
,202406,Budget FY2024,PPACANADA,60200,,DC,DC,1830,,,
,202406,Budget FY2024,PPACANADA,68000,,DC,DC,50463,,,
,202406,Budget FY2024,PPACANADA,68050,,DC,DC,700,,,
,202406,Budget FY2024,PPACANADA,68025,,DC,DC,4000,,,
,202406,Budget FY2024,PPACANADA,68200,,DC,DC,4489,,,
,202406,Budget FY2024,PPACANADA,68250,,DC,DC,100,,,
,202406,Budget FY2024,PPACANADA,68850,,DC,DC,27499,,,
,202407,Budget FY2024,PPACANADA,57000,,DC,DC,1300,,,
,202407,Budget FY2024,PPACANADA,60000,,DC,DC,5833,,,
,202407,Budget FY2024,PPACANADA,60100,,DC,DC,76235,,,
,202407,Budget FY2024,PPACANADA,60500,,DC,DC,408,,,
,202407,Budget FY2024,PPACANADA,60600,,DC,DC,6436,,,
,202407,Budget FY2024,PPACANADA,62000,,DC,DC,,,,
,202407,Budget FY2024,PPACANADA,60200,,DC,DC,1945,,,
,202407,Budget FY2024,PPACANADA,68000,,DC,DC,50463,,,
,202407,Budget FY2024,PPACANADA,68050,,DC,DC,950,,,
,202407,Budget FY2024,PPACANADA,68025,,DC,DC,4000,,,
,202407,Budget FY2024,PPACANADA,68200,,DC,DC,6554,,,
,202407,Budget FY2024,PPACANADA,68250,,DC,DC,100,,,
,202407,Budget FY2024,PPACANADA,68850,,DC,DC,2664,,,
,202408,Budget FY2024,PPACANADA,57000,,DC,DC,1300,,,
,202408,Budget FY2024,PPACANADA,60000,,DC,DC,5833,,,
,202408,Budget FY2024,PPACANADA,60100,,DC,DC,82090,,,
,202408,Budget FY2024,PPACANADA,60500,,DC,DC,408,,,
,202408,Budget FY2024,PPACANADA,60600,,DC,DC,6894,,,
