PERIOD,DATE,VERSION,RATIO
202303,2022-06-15,Budget_FY23,0.033333333
202303,2022-06-16,Budget_FY23,0.033333333
202303,2022-06-17,Budget_FY23,0.033333333
202303,2022-06-18,Budget_FY23,0.033333333
202303,2022-06-19,Budget_FY23,0.033333333
202303,2022-06-20,Budget_FY23,0.033333333
202303,2022-06-21,Budget_FY23,0.033333333
202303,2022-06-22,Budget_FY23,0.033333333
202303,2022-06-23,Budget_FY23,0.033333333
202303,2022-06-24,Budget_FY23,0.033333333
202303,2022-06-25,Budget_FY23,0.033333333
202303,2022-06-26,Budget_FY23,0.033333333
202303,2022-06-27,Budget_FY23,0.033333333
202303,2022-06-28,Budget_FY23,0.033333333
202303,2022-06-29,Budget_FY23,0.033333333
202303,2022-06-30,Budget_FY23,0.033333333
202304,2022-07-01,Budget_FY23,0.032258065
202304,2022-07-02,Budget_FY23,0.032258065
202304,2022-07-03,Budget_FY23,0.032258065
202304,2022-07-04,Budget_FY23,0.032258065
202304,2022-07-05,Budget_FY23,0.032258065
202304,2022-07-06,Budget_FY23,0.032258065
202304,2022-07-07,Budget_FY23,0.032258065
202304,2022-07-08,Budget_FY23,0.032258065
202304,2022-07-09,Budget_FY23,0.032258065
202304,2022-07-10,Budget_FY23,0.032258065
202304,2022-07-11,Budget_FY23,0.032258065
202304,2022-07-12,Budget_FY23,0.032258065
202304,2022-07-13,Budget_FY23,0.032258065
202304,2022-07-14,Budget_FY23,0.032258065
202304,2022-07-15,Budget_FY23,0.032258065
202304,2022-07-16,Budget_FY23,0.032258065
202304,2022-07-17,Budget_FY23,0.032258065
202304,2022-07-18,Budget_FY23,0.032258065
202304,2022-07-19,Budget_FY23,0.032258065
202304,2022-07-20,Budget_FY23,0.032258065
202304,2022-07-21,Budget_FY23,0.032258065
202304,2022-07-22,Budget_FY23,0.032258065
202304,2022-07-23,Budget_FY23,0.032258065
202304,2022-07-24,Budget_FY23,0.032258065
202304,2022-07-25,Budget_FY23,0.032258065
202304,2022-07-26,Budget_FY23,0.032258065
202304,2022-07-27,Budget_FY23,0.032258065
202304,2022-07-28,Budget_FY23,0.032258065
202304,2022-07-29,Budget_FY23,0.032258065
202304,2022-07-30,Budget_FY23,0.032258065
202304,2022-07-31,Budget_FY23,0.032258065
202305,2022-08-01,Budget_FY23,0.032258065
202305,2022-08-02,Budget_FY23,0.032258065
202305,2022-08-03,Budget_FY23,0.032258065
202305,2022-08-04,Budget_FY23,0.032258065
202305,2022-08-05,Budget_FY23,0.032258065
202305,2022-08-06,Budget_FY23,0.032258065
202305,2022-08-07,Budget_FY23,0.032258065
202305,2022-08-08,Budget_FY23,0.032258065
202305,2022-08-09,Budget_FY23,0.032258065
202305,2022-08-10,Budget_FY23,0.032258065
202305,2022-08-11,Budget_FY23,0.032258065
202305,2022-08-12,Budget_FY23,0.032258065
202305,2022-08-13,Budget_FY23,0.032258065
202305,2022-08-14,Budget_FY23,0.032258065
202305,2022-08-15,Budget_FY23,0.032258065
202305,2022-08-16,Budget_FY23,0.032258065
202305,2022-08-17,Budget_FY23,0.032258065
202305,2022-08-18,Budget_FY23,0.032258065
202305,2022-08-19,Budget_FY23,0.032258065
202305,2022-08-20,Budget_FY23,0.032258065
202305,2022-08-21,Budget_FY23,0.032258065
202305,2022-08-22,Budget_FY23,0.032258065
202305,2022-08-23,Budget_FY23,0.032258065
202305,2022-08-24,Budget_FY23,0.032258065
202305,2022-08-25,Budget_FY23,0.032258065
202305,2022-08-26,Budget_FY23,0.032258065
202305,2022-08-27,Budget_FY23,0.032258065
202305,2022-08-28,Budget_FY23,0.032258065
202305,2022-08-29,Budget_FY23,0.032258065
202305,2022-08-30,Budget_FY23,0.032258065
202305,2022-08-31,Budget_FY23,0.032258065
202306,2022-09-01,Budget_FY23,0.033333333
202306,2022-09-02,Budget_FY23,0.033333333
202306,2022-09-03,Budget_FY23,0.033333333
202306,2022-09-04,Budget_FY23,0.033333333
202306,2022-09-05,Budget_FY23,0.033333333
202306,2022-09-06,Budget_FY23,0.033333333
202306,2022-09-07,Budget_FY23,0.033333333
202306,2022-09-08,Budget_FY23,0.033333333
202306,2022-09-09,Budget_FY23,0.033333333
202306,2022-09-10,Budget_FY23,0.033333333
202306,2022-09-11,Budget_FY23,0.033333333
202306,2022-09-12,Budget_FY23,0.033333333
202306,2022-09-13,Budget_FY23,0.033333333
202306,2022-09-14,Budget_FY23,0.033333333
202306,2022-09-15,Budget_FY23,0.033333333
202306,2022-09-16,Budget_FY23,0.033333333
202306,2022-09-17,Budget_FY23,0.033333333
202306,2022-09-18,Budget_FY23,0.033333333
202306,2022-09-19,Budget_FY23,0.033333333
202306,2022-09-20,Budget_FY23,0.033333333
202306,2022-09-21,Budget_FY23,0.033333333
202306,2022-09-22,Budget_FY23,0.033333333
202306,2022-09-23,Budget_FY23,0.033333333
202306,2022-09-24,Budget_FY23,0.033333333
202306,2022-09-25,Budget_FY23,0.033333333
202306,2022-09-26,Budget_FY23,0.033333333
202306,2022-09-27,Budget_FY23,0.033333333
202306,2022-09-28,Budget_FY23,0.033333333
202306,2022-09-29,Budget_FY23,0.033333333
202306,2022-09-30,Budget_FY23,0.033333333
202307,2022-10-01,Budget_FY23,0.032258065
202307,2022-10-02,Budget_FY23,0.032258065
202307,2022-10-03,Budget_FY23,0.032258065
202307,2022-10-04,Budget_FY23,0.032258065
202307,2022-10-05,Budget_FY23,0.032258065
202307,2022-10-06,Budget_FY23,0.032258065
202307,2022-10-07,Budget_FY23,0.032258065
202307,2022-10-08,Budget_FY23,0.032258065
202307,2022-10-09,Budget_FY23,0.032258065
202307,2022-10-10,Budget_FY23,0.032258065
202307,2022-10-11,Budget_FY23,0.032258065
202307,2022-10-12,Budget_FY23,0.032258065
202307,2022-10-13,Budget_FY23,0.032258065
202307,2022-10-14,Budget_FY23,0.032258065
202307,2022-10-15,Budget_FY23,0.032258065
202307,2022-10-16,Budget_FY23,0.032258065
202307,2022-10-17,Budget_FY23,0.032258065
202307,2022-10-18,Budget_FY23,0.032258065
202307,2022-10-19,Budget_FY23,0.032258065
202307,2022-10-20,Budget_FY23,0.032258065
202307,2022-10-21,Budget_FY23,0.032258065
202307,2022-10-22,Budget_FY23,0.032258065
202307,2022-10-23,Budget_FY23,0.032258065
202307,2022-10-24,Budget_FY23,0.032258065
202307,2022-10-25,Budget_FY23,0.032258065
202307,2022-10-26,Budget_FY23,0.032258065
202307,2022-10-27,Budget_FY23,0.032258065
202307,2022-10-28,Budget_FY23,0.032258065
202307,2022-10-29,Budget_FY23,0.032258065
202307,2022-10-30,Budget_FY23,0.032258065
202307,2022-10-31,Budget_FY23,0.032258065
